# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    7.635900e-02 2.341196e-03   7.506291e-02 2.341196e-03  -2.031299e+01 2.712731e-01  0.044845
1e4    7.806380e-01 1.281373e-02   7.676709e-01 1.281373e-02  -2.046558e+01 1.342741e-01  0.225944
1e5    8.605113e+00 7.798824e-02   8.474811e+00 7.798824e-02  -2.148998e+01 6.235483e-02  0.346589
1e6    5.705766e+01 1.552658e-01   5.568604e+01 1.552658e-01  -3.042343e+01 1.919488e-01  0.087566
1e7    7.539246e+01 4.516118e-02   1.960595e+01 4.516118e-02  -3.149929e+01 5.955049e-01  0.008550
1e8    8.269244e+01 1.046364e-01  -6.160063e+00 1.046364e-01  -2.909244e+01 7.191095e-01  0.001442
1e9    8.728657e+01 1.553904e-01  -2.546102e+01 1.553904e-01  -2.507021e+01 9.979898e-01  0.000287
1e10   9.044057e+01 5.066900e-01  -2.969137e+01 5.066900e-01  -1.736566e+01 1.854459e+00  0.000071
1e11   9.549920e+01 1.195928e+00  -2.561325e+01 1.195928e+00  -1.368274e+01 3.136108e+00  0.000026
1e12   9.918983e+01 1.439875e+00  -2.202425e+01 1.439875e+00  -1.479430e+01 3.646580e+00  0.000007
1e13   1.038928e+02 9.379166e-01  -1.733150e+01 9.379166e-01  -7.353747e+00 3.229414e+00  0.000002
1e14   1.064361e+02 2.324682e+00  -1.478916e+01 2.324682e+00  -8.095697e+00 9.072640e+00  0.000001
1e15   1.087068e+02 2.153704e+00  -1.251861e+01 2.153704e+00  -5.396729e+00 4.746502e+00  0.000000
