# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    7.668343e-02 1.859914e-03   7.538734e-02 1.859914e-03  -2.027079e+01 2.246706e-01  0.064354
1e4    7.874474e-01 8.115979e-03   7.744802e-01 8.115979e-03  -2.055354e+01 1.537224e-01  0.356490
1e5    8.667577e+00 2.204213e-01   8.537275e+00 2.204213e-01  -2.165029e+01 2.578618e-01  0.484522
1e6    5.622467e+01 2.874711e-01   5.485304e+01 2.874711e-01  -3.029363e+01 3.225022e-01  0.238051
1e7    7.459582e+01 1.343823e-01   1.880931e+01 1.343823e-01  -3.058706e+01 9.886565e-01  0.247284
1e8    8.206123e+01 3.289120e-01  -6.791273e+00 3.289120e-01  -2.713322e+01 9.425279e-01  0.262734
1e9    8.654549e+01 1.390087e-01  -2.620209e+01 1.390087e-01  -2.620209e+01 1.390087e-01  0.265983
1e10   8.956643e+01 6.373409e-01  -3.056552e+01 6.373409e-01  -1.464023e+01 2.186446e+00  0.281567
1e11   9.430222e+01 7.589313e-01  -2.681022e+01 7.589313e-01  -1.438024e+01 3.318884e+00  0.320774
1e12   9.909559e+01 9.354834e-01  -2.211848e+01 9.354834e-01  -7.248544e+00 2.805301e+00  0.287894
1e13   1.034373e+02 7.487930e-01  -1.778701e+01 7.487930e-01  -8.229388e+00 1.645435e+00  0.306947
1e14   1.075101e+02 1.142669e+00  -1.371524e+01 1.142669e+00  -6.031878e+00 4.207477e+00  0.304157
1e15   1.117289e+02 1.001528e+00  -9.496503e+00 1.001528e+00  -1.317761e-01 4.992037e+00  0.326173
