# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    7.842462e-02 3.308327e-03   7.712853e-02 3.308327e-03  -2.057372e+01 3.921456e-01  0.054166
1e4    7.745413e-01 3.334403e-03   7.615742e-01 3.334403e-03  -2.050993e+01 1.912688e-01  0.187161
1e5    8.542810e+00 2.483443e-01   8.412508e+00 2.483443e-01  -2.164803e+01 2.268342e-01  0.217770
1e6    5.618985e+01 5.541096e-01   5.481823e+01 5.541096e-01  -3.062217e+01 5.535707e-01  0.154592
1e7    7.447057e+01 5.587960e-01   1.868406e+01 5.587960e-01  -3.063488e+01 1.081783e+00  0.216885
1e8    8.221008e+01 7.166060e-01  -6.642429e+00 7.166060e-01  -2.671141e+01 1.352567e+00  0.241716
1e9    8.663438e+01 5.219822e-01  -2.611320e+01 5.219822e-01  -2.263960e+01 4.275275e+00  0.246427
1e10   8.973648e+01 4.992518e-01  -3.039547e+01 4.992518e-01  -1.369666e+01 2.028659e+00  0.265105
1e11   9.386939e+01 1.256783e+00  -2.724305e+01 1.256783e+00  -1.341657e+01 2.344519e+00  0.269143
1e12   9.821736e+01 7.694292e-01  -2.299672e+01 7.694292e-01  -1.011295e+01 2.862733e+00  0.281249
1e13   1.037040e+02 1.117038e+00  -1.752027e+01 1.117038e+00  -7.077644e+00 4.361176e+00  0.266237
1e14   1.070662e+02 6.518006e-01  -1.415912e+01 6.518006e-01  -7.596551e+00 7.414583e+00  0.285700
1e15   1.108025e+02 5.905725e-01  -1.042293e+01 5.905725e-01  -5.515572e+00 5.217048e+00  0.303809
