# f    absolute loading and error  excess loading and error   enthalpy of ads. and error  insertion fraction
1e3    1.957331e-03 2.764755e-04   1.309320e-03 2.764755e-04  -1.764774e+01 8.089653e-01  0.001968
1e4    1.955844e-02 5.260077e-04   1.307817e-02 5.260077e-04  -1.742854e+01 2.503786e-01  0.019506
1e5    1.982450e-01 4.814288e-03   1.334261e-01 4.814288e-03  -1.755307e+01 1.534676e-01  0.136088
1e6    1.889940e+00 1.838298e-02   1.240197e+00 1.838298e-02  -1.781521e+01 6.320545e-02  0.272688
1e7    1.391761e+01 1.503846e-01   7.324018e+00 1.503846e-01  -1.978177e+01 9.828162e-02  0.262537
1e8    4.107582e+01 5.069614e-01  -8.312388e+00 5.069614e-01  -2.475239e+01 3.220622e-01  0.210891
1e9    6.379912e+01 3.179170e-01  -3.987526e+01 3.179170e-01  -2.881413e+01 1.090537e+00  0.187705
1e10   7.848543e+01 3.347159e-01  -4.054337e+01 3.347159e-01  -2.633482e+01 2.981459e+00  0.186697
1e11   8.710969e+01 3.097900e-01  -3.388969e+01 3.097900e-01  -1.822478e+01 3.467798e+00  0.212011
1e12   9.452381e+01 3.705999e-01  -2.667893e+01 3.705999e-01  -8.449274e+00 2.225219e+00  0.255401
1e13   1.009579e+02 1.053758e+00  -2.026528e+01 1.053758e+00  -6.589839e+00 3.968748e+00  0.269351
1e14   1.070970e+02 1.042722e+00  -1.412817e+01 1.042722e+00   1.623188e+00 3.835170e+00  0.276536
1e15   1.118636e+02 7.693460e-01  -9.361770e+00 7.693460e-01   8.005299e+00 1.067825e+01  0.281567
